iter	Passed	Remaining
0	148	148344
1	151	75651
2	153	50864
3	154	38410
4	155	30866
5	156	25883
6	157	22299
7	158	19593
8	159	17520
9	159	15837
10	160	14455
11	161	13302
12	162	12354
13	163	11531
14	164	10811
15	166	10211
16	167	9661
17	168	9167
18	168	8722
19	169	8316
20	170	7951
21	171	7613
22	172	7307
23	173	7057
24	174	6810
25	175	6575
26	176	6352
27	177	6152
28	178	5960
29	178	5786
30	179	5620
31	181	5504
32	182	5356
33	183	5220
34	184	5087
35	185	4963
36	186	4860
37	187	4751
38	188	4644
39	189	4541
40	189	4443
41	190	4351
42	191	4263
43	192	4184
44	193	4111
45	194	4034
46	195	3958
47	195	3885
48	196	3817
49	197	3756
50	198	3691
51	199	3638
52	201	3593
53	202	3542
54	203	3490
55	204	3439
56	204	3386
57	205	3335
58	206	3289
59	207	3254
60	208	3210
61	209	3167
62	210	3126
63	211	3087
64	211	3047
65	212	3010
66	213	2974
67	214	2940
68	215	2903
69	215	2869
70	216	2837
71	217	2805
72	218	2775
73	219	2745
74	220	2717
75	221	2689
76	222	2664
77	223	2637
78	223	2610
79	224	2582
80	225	2556
81	226	2532
82	226	2504
83	227	2480
84	228	2456
85	229	2434
86	229	2412
87	230	2390
88	231	2368
89	232	2348
90	232	2327
91	233	2306
92	234	2287
93	235	2268
94	236	2251
95	237	2236
96	238	2218
97	239	2200
98	239	2183
99	240	2166
100	241	2150
101	242	2134
102	243	2118
103	244	2103
104	245	2088
105	245	2073
106	246	2059
107	247	2045
108	248	2030
109	249	2017
110	250	2003
111	251	1991
112	251	1977
113	252	1964
114	253	1952
115	254	1940
116	255	1926
117	256	1915
118	257	1902
119	257	1890
120	258	1879
121	259	1866
122	260	1856
123	261	1846
124	262	1834
125	262	1823
126	263	1812
127	264	1803
128	265	1793
129	266	1782
130	267	1773
131	268	1764
132	269	1754
133	270	1745
134	270	1735
135	271	1726
136	272	1717
137	273	1708
138	274	1699
139	275	1690
140	275	1681
141	276	1670
142	277	1660
143	277	1651
144	278	1643
145	279	1636
146	280	1630
147	281	1622
148	282	1615
149	283	1607
150	284	1600
151	285	1593
152	286	1585
153	287	1578
154	288	1571
155	289	1564
156	289	1556
157	290	1549
158	291	1542
159	292	1535
160	293	1527
161	293	1520
162	295	1515
163	296	1510
164	297	1503
165	297	1496
166	298	1490
167	299	1484
168	300	1477
169	301	1471
170	302	1466
171	303	1459
172	303	1453
173	304	1446
174	305	1440
175	306	1434
176	307	1428
177	308	1422
178	308	1417
179	310	1412
180	310	1406
181	311	1400
182	312	1395
183	313	1390
184	314	1384
185	315	1379
186	315	1373
187	316	1368
188	317	1362
189	318	1357
190	319	1352
191	320	1346
192	320	1341
193	321	1336
194	322	1332
195	323	1328
196	324	1323
197	325	1319
198	326	1314
199	327	1309
200	328	1305
201	329	1300
202	329	1295
203	330	1290
204	331	1286
205	332	1281
206	333	1276
207	334	1272
208	334	1267
209	335	1263
210	336	1259
211	337	1255
212	338	1251
213	339	1248
214	340	1243
215	341	1239
216	342	1235
217	343	1232
218	344	1228
219	345	1223
220	346	1219
221	346	1215
222	347	1211
223	348	1207
224	349	1204
225	350	1200
226	351	1196
227	352	1192
228	353	1188
229	354	1185
230	354	1181
231	355	1178
232	356	1174
233	357	1170
234	358	1166
235	359	1163
236	360	1159
237	361	1156
238	362	1152
239	362	1149
240	364	1148
241	366	1146
242	366	1142
243	367	1139
244	368	1136
245	369	1133
246	370	1129
247	371	1126
248	372	1123
249	373	1120
250	374	1117
251	375	1114
252	376	1110
253	377	1107
254	378	1104
255	378	1101
256	379	1098
257	380	1095
258	381	1092
259	382	1089
260	383	1087
261	384	1083
262	385	1080
263	386	1077
264	387	1074
265	388	1071
266	389	1068
267	390	1065
268	390	1062
269	391	1059
270	392	1056
271	393	1054
272	394	1051
273	395	1047
274	396	1044
275	397	1041
276	398	1039
277	399	1036
278	400	1034
279	401	1031
280	401	1028
281	402	1025
282	403	1022
283	404	1019
284	405	1016
285	406	1014
286	407	1011
287	407	1008
288	408	1005
289	409	1003
290	410	1000
291	411	997
292	412	995
293	413	993
294	414	990
295	415	988
296	416	985
297	417	983
298	418	980
299	419	978
300	420	976
301	421	974
302	422	971
303	423	969
304	424	966
305	425	964
306	426	961
307	427	959
308	428	957
309	429	954
310	430	952
311	430	950
312	431	947
313	432	945
314	433	942
315	434	940
316	435	937
317	436	935
318	437	933
319	438	930
320	439	928
321	439	926
322	440	923
323	441	921
324	442	919
325	443	917
326	444	915
327	445	913
328	446	910
329	447	908
330	448	906
331	449	903
332	450	901
333	451	899
334	451	897
335	452	894
336	453	892
337	454	890
338	455	887
339	456	886
340	457	884
341	458	882
342	459	880
343	460	878
344	461	876
345	462	873
346	463	871
347	464	869
348	465	867
349	465	865
350	466	862
351	467	860
352	468	858
353	469	856
354	470	854
355	471	852
356	472	850
357	473	849
358	474	847
359	475	845
360	476	843
361	477	841
362	478	839
363	479	837
364	480	835
365	480	832
366	481	830
367	482	829
368	483	827
369	484	825
370	485	823
371	486	821
372	487	819
373	488	817
374	489	816
375	490	814
376	491	812
377	492	810
378	493	808
379	494	806
380	495	804
381	496	802
382	497	800
383	497	798
384	498	796
385	499	794
386	500	793
387	501	791
388	502	789
389	503	787
390	504	785
391	505	783
392	506	781
393	507	779
394	508	778
395	508	776
396	509	774
397	510	772
398	511	770
399	512	768
400	513	766
401	514	765
402	515	763
403	516	762
404	517	760
405	518	758
406	519	756
407	520	754
408	521	753
409	522	751
410	522	749
411	523	747
412	524	745
413	525	744
414	526	742
415	527	740
416	528	738
417	529	736
418	530	735
419	531	733
420	532	732
421	533	730
422	534	728
423	535	726
424	535	725
425	536	723
426	537	721
427	538	719
428	539	717
429	540	716
430	541	714
431	542	713
432	544	712
433	545	710
434	546	709
435	547	707
436	548	706
437	548	704
438	549	702
439	550	701
440	551	699
441	552	697
442	553	696
443	555	695
444	557	694
445	558	693
446	559	692
447	560	690
448	561	688
449	562	686
450	562	685
451	563	683
452	564	681
453	565	680
454	567	679
455	569	679
456	571	678
457	573	678
458	575	677
459	576	677
460	578	676
461	580	675
462	582	675
463	584	674
464	586	674
465	587	673
466	590	673
467	592	673
468	593	672
469	595	671
470	597	670
471	598	669
472	600	669
473	602	668
474	604	667
475	605	667
476	607	666
477	609	665
478	611	665
479	613	664
480	615	663
481	617	663
482	619	662
483	620	661
484	622	661
485	624	660
486	626	659
487	628	658
488	630	658
489	631	657
490	632	655
491	634	655
492	636	654
493	638	653
494	640	653
495	641	652
496	643	651
497	645	650
498	647	649
499	649	649
500	651	648
501	653	648
502	655	647
503	656	646
504	658	645
505	660	644
506	662	643
507	664	643
508	666	642
509	668	641
510	669	641
511	671	640
512	673	639
513	675	638
514	677	638
515	679	637
516	681	636
517	683	636
518	685	635
519	687	634
520	688	633
521	690	632
522	692	631
523	694	630
524	696	630
525	698	629
526	700	628
527	702	628
528	704	627
529	706	626
530	708	625
531	709	624
532	712	623
533	713	622
534	715	621
535	717	620
536	719	619
537	721	619
538	723	618
539	725	617
540	726	616
541	728	615
542	730	615
543	733	614
544	735	614
545	737	613
546	739	612
547	741	611
548	743	610
549	744	609
550	747	608
551	749	608
552	751	607
553	753	606
554	755	605
555	757	604
556	758	603
557	760	602
558	762	601
559	764	600
560	766	599
561	768	598
562	769	597
563	771	596
564	773	595
565	775	594
566	777	593
567	779	592
568	781	591
569	782	590
570	784	589
571	786	588
572	788	587
573	790	586
574	792	585
575	794	584
576	796	583
577	798	582
578	799	581
579	801	580
580	804	579
581	806	579
582	808	578
583	810	577
584	812	576
585	813	574
586	815	573
587	817	572
588	819	571
589	821	570
590	823	570
591	825	569
592	828	568
593	829	567
594	831	565
595	833	564
596	835	563
597	837	562
598	839	561
599	841	560
600	843	559
601	845	558
602	846	557
603	848	556
604	850	555
605	852	554
606	854	553
607	856	552
608	858	551
609	860	550
610	862	549
